Customer_ID,Full_Name,Age,Gender,Marital_Status,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Monthly_Expenses,Existing_EMI,Credit_Card_Bills,Savings_Balance,LoanAmount,Loan_Amount_Term,CIBIL_Score,Credit_History,Property_Area,Years_of_Experience,Company_Name,Vehicle_Owner,House_Owner,Mobile_Number,Email_ID,PAN_Number,Account_Type,Average_Bank_Balance,Previous_Loan_Default,Internet_Banking,Nationality,Favourite_Color,Hobby,Loan_Status
SA7ZWR9E,Vedika Devan,24,Female,Single,0,Post Graduate,No,45447,9396,22137,15554,1647,37125,526652,360,451,0,Semiurban,7,Microsoft,No,Yes,4471884586,miraya32@shah-vyas.com,KNYCK5793L,Current,96923,Yes,Yes,Indian,Black,Cricket,N
6B6KZN36,Ojas Manne,31,Male,Single,4,Post Graduate,Yes,41741,38968,37152,12101,13420,25897,319545,300,424,0,Semiurban,10,Wipro,Yes,No,6069397910,cdixit@hotmail.com,WLWXK2989L,Savings,337850,Yes,Yes,Indian,Blue,Gaming,N
Y39SD6I5,Yashvi Ganguly,43,Male,Married,2,Graduate,No,86007,3494,18269,10151,5495,242405,143247,300,773,1,Semiurban,15,Cognizant,Yes,Yes,6758459332,tarinisoman@kapur.com,CXSPY7562J,Current,386345,No,Yes,Indian,Purple,Reading,Y
DLHWL931,Veer Kala,54,Male,Single,4,Graduate,No,27938,10020,14074,17320,13793,12904,572108,240,596,0,Rural,5,Tea Shop,Yes,No,2539356008,umang18@hotmail.com,HTCSO5059Y,Savings,289256,Yes,No,Indian,Purple,Music,N
GMH4F8FD,Nakul Varma,47,Male,Single,0,Graduate,No,20744,14320,25599,11900,1843,36176,347424,360,522,0,Urban,4,Wipro,No,Yes,3881207275,gokhalezain@yahoo.com,FZYNI1949O,Current,370970,Yes,No,Indian,Purple,Music,N
Y9B8XVWG,Adira Gade,36,Male,Single,2,Post Graduate,Yes,38230,14573,37462,7005,10692,11682,306645,180,530,0,Semiurban,10,Tech Mahindra,No,No,5143682882,xtaneja@hotmail.com,UCXBL6822C,Current,278023,Yes,No,Indian,Purple,Cricket,N
HX9NE5ID,Adah Sarma,33,Male,Single,1,Post Graduate,No,116285,34851,39143,18958,7045,476071,210166,360,767,1,Rural,5,Infosys,No,Yes,4456235363,mirayacomar@hotmail.com,CQCGZ1069X,Current,254281,No,No,Indian,Purple,Music,Y
9238N506,Lakshit Arora,40,Female,Married,3,Graduate,Yes,80623,364,25868,7531,9203,476093,120357,180,818,1,Rural,2,Small Business,No,No,7571076049,wdash@gmail.com,GYEZV6555L,Current,15084,No,Yes,Indian,Black,Music,Y
ANITC6LK,Eshani Khurana,46,Female,Married,4,Post Graduate,No,36446,29614,31122,10145,12545,40430,678688,180,410,0,Urban,8,Cognizant,No,Yes,7698870644,udubey@yahoo.com,EHQXJ3475E,Savings,52745,Yes,No,Indian,Black,Travel,N
NQSB3N1Q,Vanya Iyer,41,Male,Single,4,Graduate,No,82621,25640,20606,7858,4700,344236,93040,300,720,1,Semiurban,4,TCS,No,No,8683980374,aaravdey@gmail.com,JOAVO1300Y,Savings,341750,No,Yes,Indian,Orange,Movies,Y
FCU39GGA,Lakshay Som,43,Female,Single,1,Graduate,Yes,34454,24086,23486,772,11584,45637,506478,300,570,0,Urban,6,Tea Shop,No,No,5832372084,aradhya36@gmail.com,QEPPP7238P,Current,329973,Yes,No,Indian,Green,Movies,N
JD7IJH2L,Veer Basak,34,Male,Married,4,Post Graduate,No,44564,22737,29821,2503,2059,31993,615026,180,498,0,Semiurban,5,Accenture,Yes,No,9214065543,dahluwalia@ben.com,XLFXB7605N,Current,77229,Yes,Yes,Indian,Black,Gym,N
WXIVOZ09,Taran Kuruvilla,25,Male,Married,2,Post Graduate,Yes,20570,2449,10391,439,14012,8500,320479,180,529,0,Urban,3,HCL,No,No,9802386370,oorja04@balasubramanian.info,WARQK6472S,Current,102251,Yes,No,Indian,Yellow,Cricket,N
BERXF7QO,Ira Hora,54,Male,Single,0,Post Graduate,Yes,25414,39828,28023,4116,6503,22933,421332,360,384,0,Urban,13,Microsoft,Yes,Yes,7898130099,lokeranbir@hotmail.com,LYRNY1953A,Savings,211342,Yes,No,Indian,Red,Cricket,N
UE9EQ60E,Romil Butala,43,Female,Married,2,Graduate,Yes,32413,7218,15658,1132,4533,23365,519653,240,569,0,Rural,15,Accenture,Yes,No,7944093358,shanaya80@chopra-devi.biz,CPQGG8598L,Savings,297224,Yes,No,Indian,Black,Music,N
WJTC5E7H,Gokul Iyer,43,Female,Single,0,Graduate,Yes,92004,6768,11854,5955,14012,378104,197047,360,767,1,Semiurban,4,IBM,No,Yes,6936527736,khareadah@gmail.com,MCVRI5668S,Savings,188752,No,Yes,Indian,Blue,Reading,Y
GJIDXKIR,Yakshit Hayer,47,Male,Married,0,Post Graduate,Yes,40901,28422,34946,8167,9831,12338,323487,360,601,0,Urban,15,Microsoft,No,No,6748247026,mahika09@hotmail.com,SWGUM7258A,Savings,166353,Yes,No,Indian,Blue,Movies,N
WLLGH3SN,Inaaya  Dixit,48,Male,Married,1,Post Graduate,No,17120,13036,24161,19202,13534,25538,655015,300,496,0,Rural,13,IBM,Yes,Yes,0070604176,vedika57@hotmail.com,ICCNN7437O,Savings,215455,Yes,No,Indian,Purple,Travel,N
YPIWY670,Kiaan Majumdar,30,Male,Married,0,Graduate,Yes,91902,11539,17915,6012,7758,257557,89898,300,895,1,Semiurban,15,Microsoft,Yes,Yes,2170306384,sdhawan@hotmail.com,TUVVJ7717M,Current,181957,No,No,Indian,Yellow,Chess,Y
9KOVK81N,Yuvaan Basu,55,Male,Single,3,Graduate,No,115942,32698,10779,14385,6088,212841,135734,360,797,1,Rural,2,Amazon,Yes,Yes,2635445777,ydeol@gmail.com,LMNOS8658W,Savings,240036,No,No,Indian,Red,Cricket,Y
8I11T6P6,Purab Dhingra,27,Female,Married,1,Post Graduate,Yes,44537,21713,39406,13040,11243,14408,507400,180,506,0,Semiurban,13,Infosys,No,No,1759582960,reyansh37@chahal.com,RUSLM7354S,Savings,292258,Yes,Yes,Indian,Red,Gaming,N
4ME8G8LW,Rati Shan,49,Female,Married,4,Post Graduate,No,89682,22587,39140,15575,14638,404260,116522,240,805,1,Semiurban,1,Transport Business,Yes,Yes,4322452386,nkapoor@hotmail.com,LQVKJ4963W,Current,24209,No,No,Indian,Red,Gaming,Y
TB3OHW4S,Azad Devi,36,Male,Single,3,Post Graduate,No,94405,20647,37818,9148,10228,251169,157113,360,744,1,Urban,9,Wipro,No,Yes,4742369169,fkibe@devi.com,KMLOP9367E,Current,122949,No,Yes,Indian,Yellow,Gaming,Y
AOYB1QR7,Tanya Andra,41,Female,Married,4,Graduate,Yes,47089,12080,16758,12746,11551,9302,582329,300,382,0,Rural,11,Tech Mahindra,No,No,7364411990,nishithchada@deol-gaba.net,OZOGO8553R,Current,187121,Yes,Yes,Indian,Red,Cricket,N
6TVA78H3,Anahita Gara,34,Female,Single,1,Graduate,Yes,40652,28317,12640,7184,4215,19540,308396,240,463,0,Semiurban,12,Wipro,Yes,No,4469364236,diya09@yahoo.com,KITFZ3679X,Savings,376608,Yes,Yes,Indian,White,Music,N
ZD9RS5OD,Madhav Wable,32,Male,Married,2,Post Graduate,No,113917,2279,32704,4296,12263,491658,142493,300,849,1,Urban,11,HCL,No,Yes,5137040599,raunaksoni@wali-jaggi.biz,VZMDR9673R,Savings,258227,No,Yes,Indian,Black,Cricket,Y
E4PH31G2,Manikya Comar,50,Male,Married,2,Graduate,No,29606,6186,13476,15429,6454,46885,478391,360,400,0,Rural,3,IBM,No,No,3964582785,misha18@gmail.com,FWQME3918U,Current,67002,Yes,No,Indian,Orange,Gym,N
S4G7ZGVL,Kimaya Kurian,48,Female,Married,0,Graduate,Yes,37717,2012,28431,10166,14636,12965,644355,300,477,0,Rural,15,Tea Shop,No,Yes,7348580005,dhanuk14@agarwal.com,YIZWA1088A,Current,137089,Yes,No,Indian,Red,Reading,N
3ZJK5849,Anahi Sahni,44,Female,Single,3,Post Graduate,No,35778,32711,38543,8882,3170,7739,478898,300,511,0,Rural,6,Google,Yes,No,0979326691,nkonda@gmail.com,FBQML5475R,Current,237133,Yes,No,Indian,Orange,Chess,N
B5EYCRJY,Alisha Mani,53,Male,Married,1,Post Graduate,No,111994,32702,29716,19851,8627,404470,235672,180,741,1,Rural,4,Tech Mahindra,Yes,No,1391723806,adhawan@kanda.net,ECSGC2361Z,Current,255206,No,No,Indian,Purple,Movies,Y
OSCJ7D4X,Urvi Amble,32,Female,Married,3,Post Graduate,Yes,38541,24807,26575,8180,9087,24603,407982,360,532,0,Urban,11,Retail Shop,Yes,Yes,8053385561,sherefaiyaz@yahoo.com,SWGOA3391X,Savings,374509,Yes,No,Indian,Yellow,Reading,N
D7PK3MJU,Ranbir Wali,32,Male,Married,3,Post Graduate,Yes,38980,14339,28283,19501,14311,7293,636436,180,458,0,Rural,13,IBM,No,Yes,7394478203,nsuri@yahoo.com,WQOVY4318H,Savings,83888,Yes,No,Indian,Orange,Chess,N
1AU0DX73,Siya Trivedi,54,Female,Single,1,Post Graduate,Yes,33638,19648,22249,8622,14815,18427,518842,240,459,0,Urban,5,Amazon,Yes,No,6565267394,zyohannan@hotmail.com,UZUWR3345L,Current,116147,Yes,Yes,Indian,Orange,Travel,N
XPBTPE4W,Aarav Buch,25,Female,Single,0,Post Graduate,No,85330,19086,24011,7350,14263,285267,94485,300,776,1,Urban,1,Wipro,Yes,Yes,6771165125,dugarrhea@deol.com,PLQSG9303B,Savings,28955,No,No,Indian,Purple,Gaming,Y
M6G6X0AO,Shamik Golla,46,Female,Married,2,Graduate,Yes,35633,18439,10909,854,10576,17378,389246,180,575,0,Urban,4,Small Business,No,Yes,3775148809,riaansethi@yahoo.com,VHJXB5481L,Savings,86753,Yes,No,Indian,Orange,Travel,N
KIPNP47F,Dhanuk Lal,49,Female,Single,2,Graduate,No,67588,12971,34145,4305,6465,260519,222822,360,839,1,Urban,9,Accenture,No,No,0250788591,shanraunak@gmail.com,IUKXD3135W,Current,368970,No,No,Indian,Purple,Cricket,Y
TKLZSGAN,Pihu Sane,51,Male,Married,3,Post Graduate,Yes,118672,34697,27952,16503,11186,484444,217947,240,886,1,Rural,2,IBM,No,No,4074906255,ikoshy@yahoo.com,YDANL4448S,Savings,217051,No,No,Indian,Blue,Cricket,Y
7IE3Q06J,Yashvi Ratti,39,Female,Single,1,Post Graduate,Yes,31047,36203,29719,6909,6965,33097,496640,300,596,0,Urban,6,Tech Mahindra,No,No,3776680461,kotharineysa@chaudry.com,JHFFC3025I,Savings,278487,Yes,No,Indian,Yellow,Gaming,N
NY1WXG1I,Hazel Sidhu,53,Female,Single,3,Graduate,Yes,24134,22286,29964,14487,13667,37595,699233,300,461,0,Urban,2,Small Business,Yes,Yes,5912234827,hridaanbasak@gmail.com,JRJBG8927B,Current,397424,Yes,Yes,Indian,Blue,Cricket,N
YLOO6EW0,Zain Bahri,36,Female,Married,1,Post Graduate,Yes,20650,19557,12046,6394,7514,5497,411013,300,448,0,Rural,10,Small Business,Yes,Yes,6291775619,subramaniangokul@yahoo.com,TYUGI4194F,Current,213011,Yes,Yes,Indian,Yellow,Chess,N
4YH9CFGQ,Tara Chacko,29,Male,Single,3,Graduate,No,69642,13562,33028,9388,11026,179257,157063,180,780,1,Rural,1,Small Business,No,No,9135067480,njaggi@kohli.biz,OEXDU5719Y,Savings,21511,No,Yes,Indian,Blue,Reading,Y
UAG5JTW4,Kismat Kaul,49,Female,Married,1,Graduate,No,85052,32447,25186,3308,1677,188116,81193,240,899,1,Urban,2,Wipro,Yes,No,8468546995,samaira33@bassi-raju.com,JWUWQ1687D,Current,66618,No,No,Indian,Purple,Cricket,Y
OXHLJMC0,Alisha Madan,36,Female,Married,3,Post Graduate,Yes,44974,20049,11665,13270,9624,42457,559140,180,565,0,Urban,13,Wipro,No,No,1031088430,misha93@sengupta.com,YOQDS9410Z,Savings,16703,Yes,No,Indian,Red,Gym,N
CWWF6S4P,Azad Seth,34,Female,Single,1,Graduate,No,95643,17943,30200,7678,14697,462141,169636,240,791,1,Semiurban,12,Accenture,Yes,No,1860256699,sridharritvik@zacharia.net,IQYUG7595R,Savings,317199,No,Yes,Indian,Blue,Music,Y
BJ7H3AV7,Anay Vohra,23,Female,Married,4,Graduate,Yes,65564,14146,35339,4923,11256,190559,132268,300,751,1,Rural,4,Retail Shop,No,Yes,7825524459,wkala@cherian.com,WEYVU0030Q,Savings,82276,No,Yes,Indian,White,Gaming,Y
6F4MK8HB,Faiyaz Tara,55,Male,Married,2,Graduate,Yes,47539,28048,37389,4662,8926,32761,686083,240,623,0,Rural,14,Amazon,Yes,Yes,4847639156,nsunder@choudhury.com,QDIPS5330W,Current,241373,Yes,No,Indian,White,Cricket,N
2QOYA6JU,Vihaan Koshy,40,Male,Single,1,Post Graduate,Yes,73802,1404,33951,9306,4841,237851,176513,180,897,1,Urban,15,Transport Business,No,Yes,8337804821,saanviarora@gmail.com,GNUHW5992M,Current,390035,No,Yes,Indian,Black,Cricket,Y
IFKKDYRQ,Jhanvi Loyal,48,Male,Single,2,Post Graduate,Yes,42211,18916,25664,5560,14050,41022,441458,360,573,0,Rural,6,Tech Mahindra,No,Yes,4391157460,nehmat12@yahoo.com,FVGMN4028K,Current,350979,Yes,Yes,Indian,White,Travel,N
486T070F,Riaan Dani,24,Male,Married,2,Graduate,No,117790,4682,32095,19585,9777,446730,193708,180,721,1,Urban,5,Wipro,No,No,9492666681,nitya17@kapoor-vig.com,BWOFM0309P,Savings,244485,No,Yes,Indian,Blue,Music,Y
2CG3HJ16,Miraan Karpe,47,Female,Married,1,Graduate,Yes,18900,2761,17085,4070,2061,33724,466865,240,604,0,Urban,3,Transport Business,Yes,No,9266478063,yakshit48@kaul.com,SLHMA4219N,Savings,101041,Yes,Yes,Indian,Blue,Gym,N
N7NQCXLM,Kartik Hari,51,Female,Married,4,Graduate,Yes,85660,3428,23718,12974,9297,375321,218533,240,871,1,Rural,3,Amazon,Yes,Yes,1113067322,zbhandari@savant.com,UCQDE6883P,Current,220703,No,Yes,Indian,Purple,Chess,Y
4PPEPX5U,Pari Boase,28,Female,Single,3,Graduate,No,68193,11859,33082,2722,14179,494842,120386,360,815,1,Semiurban,13,Retail Shop,Yes,Yes,6211700067,kiara53@sharaf-balasubramanian.com,ZAVLQ7943Q,Savings,391342,No,No,Indian,Black,Cricket,Y
4BS8UGAJ,Pranay Sarraf,54,Female,Single,3,Graduate,Yes,39217,2594,17231,18620,13680,14105,560269,180,544,0,Urban,14,Small Business,No,Yes,7985496322,dewanbaiju@hotmail.com,UNCYT5967I,Savings,359865,Yes,Yes,Indian,Purple,Music,N
K17YO9RQ,Dishani Kata,52,Male,Single,2,Post Graduate,Yes,30896,15804,21243,7164,14935,25933,698588,240,572,0,Semiurban,13,Wipro,No,No,4591011609,yasmindada@krishnan.com,VLKIA0322I,Current,293853,Yes,No,Indian,Yellow,Music,N
WJ13VT5S,Miraya Kant,40,Male,Married,2,Graduate,Yes,109345,19674,10747,18503,6515,220579,112136,300,795,1,Semiurban,7,Cognizant,Yes,Yes,0237767294,daramisha@shroff.com,QINGY2569P,Current,206780,No,No,Indian,Green,Cricket,Y
RIUKJ2AV,Prisha Srivastava,34,Female,Single,0,Graduate,Yes,48559,29532,35791,13753,11691,43680,656813,240,474,0,Urban,5,Google,Yes,No,1941817141,kadakiasamarth@chana.com,SMWWF5174Z,Current,180649,Yes,Yes,Indian,Red,Reading,N
D43LYTTJ,Bhavin Saraf,38,Female,Married,1,Graduate,Yes,34303,24532,36478,13030,13949,13544,680805,240,635,0,Urban,6,Google,No,No,3695837482,bhattacharyyakabir@kar-yogi.biz,JXNLD1519E,Savings,153914,Yes,Yes,Indian,Black,Gaming,N
9JVEZDR9,Hansh Walia,44,Female,Single,0,Post Graduate,Yes,98576,4260,16107,8614,2088,420290,179694,360,809,1,Rural,15,HCL,Yes,Yes,9243989733,sharafindranil@rout.info,NWVBA3993U,Current,136495,No,No,Indian,Yellow,Travel,Y
2LZ6523C,Zeeshan Mani,47,Female,Married,1,Graduate,Yes,40155,36160,28172,9339,4920,45227,571992,180,500,0,Urban,9,Transport Business,No,Yes,8415096046,ahujakartik@karpe.info,JLYVK4117N,Savings,284704,Yes,Yes,Indian,Black,Gaming,N
O84GBS8J,Samarth Goel,40,Male,Single,0,Post Graduate,Yes,29345,1841,16129,2839,3609,42476,400402,180,571,0,Rural,4,IBM,Yes,Yes,3368299463,nirvaanwadhwa@yahoo.com,JJBAI1706V,Current,202707,Yes,No,Indian,Purple,Cricket,N
X00BZ6JB,Mamooty Bala,39,Female,Single,1,Graduate,No,93906,14628,35171,18823,5360,453909,147636,180,723,1,Urban,9,Tech Mahindra,No,No,8964072646,seher54@basak.org,HHSZM8159E,Current,242732,No,No,Indian,Yellow,Movies,Y
NCPEA1IZ,Aniruddh Kant,34,Male,Single,2,Graduate,No,85590,19475,31503,10305,6612,219949,109964,240,732,1,Semiurban,14,Infosys,Yes,No,7986224349,ckibe@yahoo.com,DVUNH7588Z,Current,216300,No,Yes,Indian,Purple,Chess,Y
FMMMFF2N,Aarav Lata,51,Male,Married,1,Graduate,No,72193,26352,10799,1670,10524,201679,114652,300,730,1,Urban,14,HCL,Yes,No,8970041963,bawamadhav@venkataraman.com,EKXOD5092U,Savings,260949,No,Yes,Indian,Red,Reading,Y
IEDCN8AL,Farhan Jha,52,Male,Married,4,Post Graduate,Yes,100737,9132,24635,6166,12441,221069,165980,360,755,1,Urban,10,TCS,No,Yes,9705279393,navya06@yahoo.com,UOJWJ7653Y,Savings,34051,No,No,Indian,Yellow,Movies,Y
Y878F70E,Ivana Kar,50,Female,Married,2,Post Graduate,Yes,74966,1070,31361,377,9940,327696,142913,180,798,1,Urban,10,Amazon,Yes,No,6663485934,baiju73@gmail.com,KHKVZ3222K,Current,230928,No,Yes,Indian,Orange,Cricket,Y
QLWER68K,Anahita Ramaswamy,32,Female,Married,0,Graduate,No,80483,34780,12830,18183,5136,455431,204668,180,824,1,Rural,1,IBM,No,No,8805228484,raniachatterjee@bhasin.com,RZNHG6938Z,Current,123247,No,No,Indian,Red,Music,Y
659941EC,Advika Varma,33,Female,Single,0,Post Graduate,No,105117,29439,35792,2559,14344,437627,81093,240,720,1,Rural,8,Amazon,No,Yes,5688180940,seher05@hotmail.com,PRAYU1728T,Savings,268957,No,No,Indian,Red,Cricket,Y
755D2CFN,Onkar Acharya,47,Female,Single,3,Post Graduate,No,91911,28368,10674,14836,14645,310170,101418,180,850,1,Semiurban,10,Retail Shop,No,Yes,1390619951,isinha@dora-bhardwaj.com,ZTFNP7151T,Savings,394499,No,No,Indian,Orange,Music,Y
R1HB5J0Q,Zain Gaba,36,Male,Single,2,Graduate,Yes,35968,31699,20640,5676,4963,31808,436435,240,584,0,Urban,14,Transport Business,Yes,Yes,3128135416,anya10@sarna.com,PLFLK6711H,Current,281409,Yes,No,Indian,Yellow,Movies,N
35ZOROLL,Vritika Kari,32,Female,Single,0,Post Graduate,Yes,48979,27711,28202,1058,4020,19711,413627,240,543,0,Rural,4,Infosys,Yes,Yes,1469061772,mandersamaira@gmail.com,NGDRS5056T,Savings,296541,Yes,Yes,Indian,Red,Gym,N
FKKK94XZ,Emir Kalla,25,Male,Single,0,Post Graduate,Yes,93490,38673,29139,8486,4948,337624,213011,240,806,1,Rural,4,Cognizant,No,Yes,9077893877,zain64@sabharwal.info,VZIWZ7925R,Current,315651,No,Yes,Indian,Green,Travel,Y
RZIFKHBN,Samiha Kuruvilla,49,Male,Single,1,Post Graduate,No,31550,15995,23061,8347,13414,42156,400477,300,448,0,Urban,9,IBM,Yes,Yes,5212625368,solankiarmaan@deol.com,YEULS8170Q,Savings,192228,Yes,Yes,Indian,Orange,Chess,N
CKLE7T8D,Mahika Chandra,47,Male,Married,3,Post Graduate,No,36114,416,11301,14820,13935,20238,327787,360,449,0,Rural,12,Cognizant,Yes,Yes,3093676438,sdeol@sen.info,ODJCT4947H,Savings,319010,Yes,No,Indian,Blue,Gym,N
MFE67UT2,Kashvi Sampath,51,Female,Single,2,Post Graduate,Yes,85368,31690,19766,2828,8327,422933,241036,240,847,1,Rural,6,Amazon,Yes,Yes,2480755968,saurora@gmail.com,SBSFA3778B,Savings,54560,No,Yes,Indian,Green,Music,Y
O4QDNOTI,Vidur Issac,30,Male,Single,0,Graduate,No,38025,22542,31495,12766,12564,5240,394679,180,434,0,Semiurban,6,Retail Shop,Yes,Yes,7020446798,laddevansh@tailor.com,JRUQR3401I,Current,203035,Yes,No,Indian,Orange,Cricket,N
MGMYF6OW,Badal Shan,39,Male,Married,0,Graduate,No,80467,2060,37892,11031,6290,153830,239288,360,782,1,Rural,9,HCL,No,No,0037396658,zoya48@hotmail.com,ZNBRH6980M,Savings,28034,No,Yes,Indian,Purple,Cricket,Y
YDOTVR04,Aarush Kala,50,Female,Single,1,Graduate,Yes,24025,14419,23298,15676,6265,23271,505690,180,510,0,Semiurban,9,TCS,No,Yes,0109280864,singhalanika@gmail.com,RWZOX1675Z,Savings,10355,Yes,Yes,Indian,Black,Travel,N
S4AVQQ0B,Tarini Goswami,34,Female,Single,3,Graduate,No,103175,29686,34188,9603,1066,166998,180373,360,899,1,Rural,8,Amazon,No,Yes,6562737510,lallmiraan@gmail.com,NYSXO4565I,Current,197812,No,No,Indian,Black,Movies,Y
9DCIXV77,Anay Chaudhary,55,Female,Married,0,Graduate,Yes,33999,1781,23306,15929,11404,14038,366819,360,354,0,Urban,14,TCS,Yes,Yes,0387522189,riya42@gmail.com,BPFCT0463K,Savings,199555,Yes,Yes,Indian,Red,Chess,N
BJ52YU4Y,Shalv Sachar,36,Male,Married,1,Post Graduate,No,107855,12258,24439,8770,11910,388930,177167,300,723,1,Rural,12,HCL,No,Yes,0184857955,agaba@gmail.com,INHJO0290V,Savings,177190,No,No,Indian,Orange,Music,Y
A808PPPM,Vivaan Chand,43,Female,Married,3,Graduate,Yes,40580,36433,24900,11976,12022,10828,480270,360,638,0,Semiurban,1,Infosys,No,No,2441180186,ykade@hotmail.com,TRRTU8913Q,Savings,136882,Yes,Yes,Indian,White,Reading,N
SEMFCUTP,Dhanush Chana,48,Male,Single,4,Post Graduate,No,38716,11172,12534,15327,8674,11812,434894,300,620,0,Semiurban,4,Google,Yes,No,1048938538,cjoshi@hotmail.com,JQLFB7735E,Savings,283477,Yes,No,Indian,Yellow,Gym,N
UZ8GXULC,Miraya Mammen,48,Female,Married,1,Graduate,Yes,38309,37196,36036,9382,9062,37389,331046,180,447,0,Rural,6,IBM,No,Yes,8727849856,nkadakia@hotmail.com,ZQCVE7699I,Current,281803,Yes,Yes,Indian,Black,Gym,N
N29D9ID2,Shanaya Reddy,40,Female,Married,1,Graduate,No,95265,7333,14024,11573,6127,245686,232100,180,767,1,Rural,5,Retail Shop,No,No,3904841015,siyakonda@yahoo.com,MGTXI1381S,Current,166695,No,Yes,Indian,Blue,Chess,Y
81T49H40,Aradhya Bhatia,42,Male,Married,4,Post Graduate,No,118212,29610,28271,3434,6860,226291,114682,240,720,1,Urban,14,Cognizant,No,No,2490407539,chiragmander@gmail.com,CKBCY4251Y,Savings,359172,No,No,Indian,Red,Chess,Y
DVIX53VS,Hansh Lanka,25,Male,Single,4,Post Graduate,No,27881,4230,26569,8124,7420,25669,353363,240,393,0,Urban,14,IBM,Yes,No,5854790115,kaurrasha@cheema.com,CZTYR7692E,Savings,122541,Yes,No,Indian,White,Movies,N
N6THU2F9,Parinaaz Rastogi,42,Male,Single,2,Post Graduate,Yes,70702,26628,38528,10984,10703,467671,160927,240,816,1,Rural,9,TCS,No,No,9435727806,xchaudhry@yahoo.com,NFRYV0201W,Savings,336174,No,Yes,Indian,Green,Cricket,Y
XAN81GCS,Pranay Varty,53,Male,Married,3,Post Graduate,No,87148,34676,20536,19564,2059,199726,113364,180,874,1,Urban,11,Small Business,No,Yes,6155091484,manjaribhavsar@gopal.com,YNYIK7510T,Savings,92229,No,No,Indian,Orange,Travel,Y
TT9J9CSO,Ahana  Shukla,40,Female,Single,3,Graduate,Yes,22457,30447,32837,1750,14260,18506,615745,180,374,0,Rural,11,IBM,No,No,7884950945,ddhillon@butala.net,PYNHE9847O,Current,126471,Yes,No,Indian,Orange,Reading,N
PO4LVCRK,Anahita Khosla,49,Male,Married,3,Graduate,Yes,17977,37201,25568,2966,4219,31052,641309,240,639,0,Semiurban,14,Microsoft,No,No,3581649641,andrashalv@krish.org,OYHJI8301Z,Current,290101,Yes,No,Indian,Red,Chess,N
